NAME,X,Y,X-scaled,Y-scaled,label,top_level_cell_type,sub_level_cell_type
536,15566,23160,4670,6948,13months-control-replicate_2,Endo,Endo1
537,7033,23158,2110,6948,13months-control-replicate_2,CTX-Ex,CTX-Ex2
538,19118,23161,5736,6949,13months-control-replicate_2,CTX-Ex,CTX-Ex3
539,9260,23164,2778,6950,13months-control-replicate_2,Micro,Micro1
540,6580,23152,1974,6946,13months-control-replicate_2,Inh,Sst
541,8702,23158,2611,6948,13months-control-replicate_2,Inh,Sst
542,10641,23145,3193,6944,13months-control-replicate_2,Endo,Endo1
543,8887,23153,2666,6946,13months-control-replicate_2,OPC,OPC
544,19510,23142,5853,6943,13months-control-replicate_2,SMC,S3
545,7230,23144,2169,6944,13months-control-replicate_2,OPC,OPC
546,2341,23137,703,6942,13months-control-replicate_2,CTX-Ex,CTX-Ex3
547,7086,23130,2126,6939,13months-control-replicate_2,SMC,S1
548,14623,23138,4387,6942,13months-control-replicate_2,CTX-Ex,CTX-Ex1
549,4318,23130,1296,6939,13months-control-replicate_2,Oligo,Oligo1
550,10429,23126,3129,6938,13months-control-replicate_2,CTX-Ex,CTX-Ex1
551,14183,23120,4255,6936,13months-control-replicate_2,CTX-Ex,CTX-Ex2
552,10953,23133,3286,6940,13months-control-replicate_2,CTX-Ex,CTX-Ex1
553,4395,23127,1319,6939,13months-control-replicate_2,Oligo,Oligo1
554,4114,23123,1235,6937,13months-control-replicate_2,Astro,Astro2
555,16182,23096,4855,6929,13months-control-replicate_2,CTX-Ex,CTX-Ex2
556,15421,23114,4627,6935,13months-control-replicate_2,Astro,Astro2
557,7740,23118,2322,6936,13months-control-replicate_2,CTX-Ex,CTX-Ex2
558,15202,23119,4561,6936,13months-control-replicate_2,DG,DG
559,16832,23104,5050,6932,13months-control-replicate_2,CTX-Ex,CTX-Ex2
560,12232,23103,3670,6931,13months-control-replicate_2,CTX-Ex,CTX-Ex2
561,10767,23102,3230,6931,13months-control-replicate_2,CTX-Ex,CTX-Ex4
562,5375,23098,1613,6930,13months-control-replicate_2,Endo,Endo1
563,18910,23097,5673,6930,13months-control-replicate_2,SMC,S3
564,16419,23077,4926,6924,13months-control-replicate_2,Inh,Cnr1
565,13202,23102,3961,6931,13months-control-replicate_2,CTX-Ex,CTX-Ex2
566,10199,23090,3060,6927,13months-control-replicate_2,Inh,Vip
567,4503,23083,1351,6925,13months-control-replicate_2,CTX-Ex,CTX-Ex3
