"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Tmem88b",1.03331660917707,-0.00695018335038702,0.0302086622097021,-0.230072530261033,0.81803541002671,NA
"Tmem91",1.0234235422949,0.0159028768412704,0.0303024782432433,0.52480449663606,0.599719105306319,NA
"Tmsb10",1.14570410270995,0.0928736966178702,0.0284959795581041,3.25918596440941,0.00111732402336156,0.0105130033107201
"Tmsb4x",2.44261845186369,-0.429418819707701,0.0218509846050293,-19.6521496614329,5.5415487694301e-86,1.14710059527203e-83
"Tnc",1.03169838924158,0.0118727922516622,0.0301900140106189,0.393268855307128,0.694120918739882,NA
"Tnf",1.03653438118043,0.00576911292528732,0.0301332615167063,0.19145331885461,0.848170450140217,NA
"Tnfaip3",1.01998768854475,0.00357211190597889,0.0303807788107438,0.117578022875294,0.906402019342235,NA
"Tnfaip6",1.02063397243251,0.00143347940351797,0.0303760302493451,0.0471911369507831,0.962360891342337,NA
"Tnfrsf12a",1.02192239243086,-0.000291159713817622,0.0303608200668775,-0.00958998186400327,0.992348418815632,NA
"Tnfrsf13c",1.04749407927759,0.00694397833793118,0.0299731717406352,0.231673124153127,0.816791907323587,NA
"Tnfrsf19",1.02095499280317,0.00514122110156138,0.0303629153668646,0.169325673751739,0.865540482813151,NA
"Tnfrsf1a",1.02407151753475,0.000443113455517868,0.0303274014404499,0.0146109931768455,0.988342528902675,NA
"Tnik",1.12442593918482,0.0169516460522141,0.0289123016123085,0.586312576546912,0.557665481049365,0.938199504471866
"Tnn",1.07037823496042,0.00038917514207879,0.0296665418914748,0.0131183183905444,0.989533396493466,0.997681225870688
"Tnnc1",1.02213641748433,0.0023910833345762,0.0303515908251927,0.0787795061006004,0.937208005139122,NA
"Tnni3",1.03524514727799,0.00935795713524457,0.0301439977965334,0.310441806637895,0.756225006318421,NA
"Tnni3k",1.03384985638781,0.00314723096895369,0.0301780918977184,0.104288600472836,0.916940324088173,NA
"Tnnt1",1.02535938703123,0.0107697431871734,0.0302853138466467,0.355609429762137,0.722133080770724,NA
"Tnnt3",1.01945096376337,0.00163587218585119,0.0303931164322104,0.0538237725473094,0.957075569215468,NA
"Tnr",1.07929502691925,-0.012616957034584,0.0295730391959121,-0.42663714578,0.66964363771874,0.952543671122246
"Tns1",1.05890179077883,0.00467336040589598,0.0298171070393861,0.156734199589612,0.875454332798634,NA
"Tns3",1.05180243472035,0.00154506794136077,0.0299240272583214,0.0516330214520543,0.958821107109546,NA
"Top2a",1.0455594527456,0.0169304541580622,0.0299789073458967,0.564745538011728,0.572246855529869,NA
"Tox",1.04824033866285,0.0558935004440907,0.0298587858842522,1.87192810386739,0.061216550864015,NA
"Tox3",1.0392209896534,0.00399913637179308,0.0300983628572069,0.132868900237725,0.894297062802352,NA
